date,btc,last_timestamp
2022-02-01 00:00:00,3.0,
2022-02-01 00:00:00,2.0,
2022-02-01 00:00:00,3.0,
2022-02-01 00:00:00,3.0,
2022-02-01 00:00:00,1.0,
2022-02-01 00:00:00,0.298371,
2022-02-01 00:00:00,536.0,
2022-02-01 00:00:00,546.0,
2022-02-01 00:00:00,84.0,
2022-02-02 00:00:00,52.0,
2022-02-02 00:00:00,0.0,
2022-02-02 00:00:00,856.0,
2022-02-02 00:00:00,708.0,
2022-02-02 00:00:00,700.0,
2022-02-02 00:00:00,0.0,
2022-02-03 00:00:00,39.0,
2022-02-03 00:00:00,0.0,
2022-02-03 00:00:00,200.0,
2022-02-03 00:00:00,950.0,
2022-02-03 00:00:00,350.0,
2022-02-03 00:00:00,0.0,
2022-02-03 00:00:00,565.0,
2022-02-03 00:00:00,650.0,
2022-02-03 00:00:00,52.0,
2022-02-04 00:00:00,900.0,
2022-02-04 00:00:00,547.0,
2022-02-04 00:00:00,0.0,
2022-02-04 00:00:00,40.0,
2022-02-04 00:00:00,656.0,
2022-02-04 00:00:00,617.0,
2022-02-04 00:00:00,0.0,
2022-02-04 00:00:00,718.0,
2022-02-04 00:00:00,0.0,
2022-02-04 00:00:00,646.0,
2022-02-05 00:00:00,774.0,
2022-02-05 00:00:00,500.0,
2022-02-07 00:00:00,85.0,
2022-02-07 00:00:00,160.0,
2022-02-07 00:00:00,975.0,
2022-02-07 00:00:00,670.0,
2022-02-07 00:00:00,0.0,
2022-02-07 00:00:00,45.0,
2022-02-07 00:00:00,45.0,
2022-02-07 00:00:00,193.0,
2022-02-07 00:00:00,903.0,
2022-02-07 00:00:00,692.0,
2022-02-07 00:00:00,996.0,
2022-02-07 00:00:00,405.0,
2022-02-07 00:00:00,0.0,
2022-02-07 00:00:00,200.0,
2022-02-07 00:00:00,0.0,
2022-02-08 00:00:00,700.0,
2022-02-08 00:00:00,0.0,
2022-02-08 00:00:00,0.0,
2022-02-08 00:00:00,0.0,
2022-02-08 00:00:00,960.0,
2022-02-08 00:00:00,950.0,
2022-02-08 00:00:00,850.0,
2022-02-08 00:00:00,500.0,
2022-02-08 00:00:00,500.0,
2022-02-08 00:00:00,500.0,
2022-02-08 00:00:00,483.0,
2022-02-08 00:00:00,500.0,
2022-02-08 00:00:00,460.0,
2022-02-08 00:00:00,600.0,
2022-02-08 00:00:00,595.0,
2022-02-08 00:00:00,728.0,
2022-02-08 00:00:00,500.0,
2022-02-08 00:00:00,0.0,
2022-02-09 00:00:00,0.0,
2022-02-09 00:00:00,492.0,
2022-02-09 00:00:00,11.0,
2022-02-09 00:00:00,604.0,
2022-02-09 00:00:00,624.0,
2022-02-09 00:00:00,626.0,
2022-02-09 00:00:00,700.0,
2022-02-10 00:00:00,850.0,
2022-02-10 00:00:00,0.0,
2022-02-10 00:00:00,500.0,
2022-02-10 00:00:00,818.0,
2022-02-10 00:00:00,710.0,
2022-02-10 00:00:00,0.0,
2022-02-10 00:00:00,583.0,
2022-02-11 00:00:00,890.0,
2022-02-11 00:00:00,750.0,
